Member_number,Recency,Frequency,Monetary,Cluster
2433,3,7,375.31,VIP
2193,91,11,361.45,VIP
1793,26,10,345.1,VIP
3289,4,10,334.15,VIP
2743,142,7,312.46,VIP
2811,310,6,305.72,VIP
2990,140,9,303.61,VIP
3872,37,10,301.33,VIP
4753,52,6,301.1,VIP
2993,239,6,296.96,VIP
4509,31,6,290.74,VIP
4102,57,6,289.4,VIP
4437,31,9,285.6,VIP
2051,46,8,284.9,VIP
1715,179,6,284.89,VIP
1169,380,9,284.8,VIP
1265,88,7,279.99,VIP
4494,58,9,277.9,VIP
2851,105,9,277.4,VIP
2210,96,5,277.35,VIP
4679,50,7,277.18,VIP
1052,64,10,271.9,VIP
3245,22,5,271.8,VIP
3593,57,10,268.8,VIP
1098,48,7,267.62,VIP
2736,4,7,267.4,VIP
2001,112,7,267.32,VIP
4293,91,7,265.7,VIP
4831,47,7,263.65,VIP
4628,20,7,262.4,VIP
1407,154,6,261.55,VIP
4624,33,7,260.94,VIP
2706,88,8,260.9,VIP
2022,161,6,260.7,VIP
1870,112,8,257.54,VIP
2517,18,9,256.25,VIP
3014,49,5,256.0,VIP
2632,98,9,254.8,VIP
4302,55,7,254.7,VIP
4137,4,9,254.04,VIP
3657,92,8,253.55,VIP
1905,73,9,253.51,VIP
4078,46,6,253.12,VIP
2918,19,8,252.6,VIP
3180,72,10,251.45,VIP
4875,65,8,249.6,VIP
3251,4,7,248.12,VIP
3957,229,7,248.11,VIP
1654,51,9,247.84,VIP
4683,98,9,247.8,VIP
4303,5,9,245.36,VIP
3761,95,8,245.1,VIP
1866,52,7,244.5,VIP
3543,80,6,244.34,VIP
4272,207,9,244.0,VIP
3120,7,10,243.5,VIP
2625,42,10,243.06,VIP
2960,11,9,242.84,VIP
4836,47,5,242.0,VIP
2184,23,8,241.86,VIP
2271,40,11,241.8,VIP
2443,45,7,241.7,VIP
4280,24,5,241.6,VIP
3361,161,9,240.5,VIP
1889,124,8,240.15,VIP
3768,84,7,239.91,VIP
4338,80,11,239.75,VIP
4234,150,6,237.4,VIP
2772,26,7,237.2,VIP
2794,92,7,236.4,VIP
2729,97,7,236.3,VIP
4328,123,3,236.0,VIP
2524,25,10,235.45,VIP
1353,324,6,235.4,VIP
4434,100,6,235.11,VIP
1565,16,6,234.79,VIP
3048,20,6,234.0,VIP
3918,191,6,232.92,VIP
1787,60,3,232.7,VIP
4389,13,7,231.44,VIP
2344,13,6,230.0,VIP
3737,18,11,229.58,VIP
2870,66,5,228.6,VIP
3635,17,7,228.33,VIP
1761,89,7,228.22,VIP
3691,128,5,227.36,VIP
3221,184,9,227.2,VIP
1862,116,5,225.65,VIP
4695,78,9,225.41,VIP
1065,47,6,225.4,VIP
1366,31,6,224.1,VIP
2070,11,9,223.85,VIP
2779,3,6,223.55,VIP
3531,123,5,223.5,VIP
3465,59,9,223.34,VIP
2440,194,9,223.29,VIP
3050,15,9,222.7,VIP
2270,91,6,222.4,VIP
1175,183,5,222.36,VIP
3752,131,6,222.36,VIP
2138,301,7,221.86,VIP
3535,120,5,221.5,VIP
3822,96,5,221.47,VIP
3246,125,8,221.4,VIP
2394,38,10,221.0,VIP
3879,27,7,220.45,VIP
1651,13,7,220.35,VIP
1259,33,6,220.04,VIP
2738,51,7,220.0,VIP
1949,161,6,219.8,VIP
1090,70,3,219.2,VIP
1677,21,5,219.0,VIP
1379,170,11,217.85,VIP
3495,42,8,217.85,VIP
4417,226,4,217.2,VIP
1522,371,7,216.19,VIP
2855,52,8,215.0,VIP
3776,165,6,214.9,VIP
1038,16,6,214.2,VIP
3830,73,9,214.05,VIP
3651,75,6,213.56,VIP
4636,264,4,213.55,VIP
1466,29,9,213.4,VIP
4243,130,6,213.34,VIP
2758,41,9,212.9,VIP
3201,33,6,212.4,VIP
3960,70,7,211.9,VIP
4235,11,7,211.84,VIP
3225,18,7,211.7,VIP
2492,50,7,210.64,VIP
4666,28,6,210.57,VIP
2229,8,8,210.51,VIP
2789,212,8,209.6,VIP
1136,57,9,209.06,VIP
3732,24,7,209.02,VIP
2663,70,9,208.82,VIP
2512,119,6,208.22,VIP
1051,50,6,207.36,VIP
3484,39,10,207.32,VIP
4789,110,5,207.05,VIP
1819,12,5,206.9,VIP
4486,28,6,206.66,VIP
3973,119,6,205.9,VIP
1574,148,10,205.7,VIP
4800,6,5,205.6,VIP
2294,98,9,205.6,VIP
3248,194,10,205.44,VIP
1625,33,7,205.26,VIP
4828,80,7,205.01,VIP
2251,190,5,205.0,VIP
1004,28,8,204.96,VIP
3562,0,5,204.76,VIP
1940,42,5,204.15,VIP
2447,2,7,204.0,VIP
4523,63,6,203.95,VIP
3416,45,5,203.8,VIP
3164,91,6,203.76,VIP
1430,13,6,203.6,VIP
2426,113,7,203.5,VIP
4499,62,6,203.26,VIP
1609,13,6,203.1,VIP
2511,169,8,202.74,VIP
2549,128,7,201.92,VIP
3922,124,5,201.75,VIP
3946,41,5,201.7,VIP
2033,319,4,201.5,VIP
1991,21,9,201.2,VIP
1653,23,6,201.0,VIP
4656,5,9,200.3,VIP
3950,25,5,200.0,VIP
1182,31,6,199.82,VIP
1983,143,7,199.6,VIP
1218,1,7,198.7,VIP
4756,103,6,198.5,VIP
1312,226,6,197.8,VIP
1890,217,4,197.2,VIP
2601,69,6,197.0,VIP
2555,7,7,196.8,VIP
3119,185,6,196.8,VIP
1785,9,7,196.3,VIP
3499,240,8,196.03,VIP
2230,216,4,195.9,VIP
1913,134,5,195.7,VIP
1360,14,5,195.2,VIP
4487,163,7,194.7,VIP
4941,319,9,194.04,VIP
1087,138,9,193.82,VIP
2650,38,4,193.71,VIP
1979,39,8,193.7,VIP
3855,28,8,193.5,VIP
4236,35,4,193.4,VIP
4512,9,6,193.2,VIP
1921,49,7,193.0,VIP
1336,270,3,192.85,Loyal
1618,150,7,192.72,VIP
3915,91,10,192.63,VIP
2716,98,7,192.1,VIP
1567,263,4,192.08,VIP
2346,104,5,191.9,VIP
3709,65,5,191.84,VIP
4257,131,6,191.75,VIP
3462,45,9,191.48,VIP
4218,88,4,191.35,VIP
3983,112,2,191.1,Loyal
1452,35,6,191.04,VIP
1465,51,7,190.96,VIP
4783,69,7,190.16,VIP
2408,112,7,189.93,VIP
3763,186,5,189.9,VIP
4510,118,7,189.76,VIP
4187,63,8,189.73,VIP
4958,172,5,189.7,VIP
4292,25,7,189.7,VIP
3938,152,7,189.62,VIP
1438,32,6,188.94,VIP
4330,191,6,188.9,VIP
3405,261,4,188.1,VIP
3031,12,5,187.8,VIP
2996,95,6,187.8,VIP
2171,118,6,187.5,VIP
3877,104,6,187.4,VIP
1013,89,8,186.75,VIP
4316,353,8,186.46,VIP
1220,1,5,186.05,VIP
1777,27,7,185.9,VIP
1887,51,7,185.8,VIP
1934,146,5,185.8,VIP
3115,427,7,185.54,VIP
2690,56,7,185.5,VIP
1410,52,10,184.95,VIP
1170,29,7,184.44,VIP
3633,1,5,184.44,VIP
4351,131,4,184.4,VIP
1554,223,5,183.5,VIP
1216,127,4,183.2,VIP
4197,57,6,183.1,VIP
1888,207,6,183.1,VIP
3584,13,7,183.1,VIP
1006,199,4,182.94,VIP
1792,137,3,182.84,Loyal
4671,151,8,182.45,VIP
2086,211,6,182.4,VIP
1572,100,7,182.1,VIP
1023,185,6,182.0,VIP
3402,136,9,181.52,VIP
1734,170,6,181.0,VIP
1287,124,5,180.92,VIP
3909,324,6,180.86,VIP
1908,157,10,180.64,VIP
2017,68,7,180.4,VIP
4826,198,6,180.3,VIP
2839,60,3,180.3,Loyal
4130,54,6,180.2,VIP
2120,84,7,180.0,VIP
4867,62,5,180.0,VIP
4589,22,5,179.9,VIP
1932,114,9,179.8,VIP
4540,71,5,179.76,VIP
1129,374,5,179.64,VIP
1324,3,5,179.2,VIP
4742,45,4,179.1,VIP
1649,31,7,178.7,VIP
2629,24,5,178.54,VIP
2370,109,7,178.26,VIP
3028,204,6,178.2,VIP
2857,256,6,177.8,VIP
3467,6,6,177.76,VIP
2380,82,6,177.75,VIP
3483,38,6,177.66,VIP
4473,114,4,177.5,VIP
2834,4,4,177.32,VIP
3649,192,7,177.2,VIP
2178,10,5,177.1,VIP
3165,33,5,177.1,VIP
4086,410,5,176.95,VIP
2151,92,5,176.94,VIP
1595,86,7,176.9,VIP
3442,46,5,176.3,VIP
3581,5,7,176.2,VIP
4353,128,6,176.2,VIP
4588,52,5,176.2,VIP
4380,57,4,175.9,VIP
1494,92,6,175.74,VIP
1435,250,5,175.55,VIP
4747,128,5,175.42,VIP
4049,151,3,174.9,Loyal
1729,15,6,174.7,VIP
1395,79,8,174.64,VIP
3579,0,5,174.6,VIP
1510,66,7,174.51,VIP
3380,49,6,174.3,VIP
4584,28,5,174.3,VIP
1483,186,8,173.62,VIP
1118,5,6,173.4,VIP
4096,184,4,173.0,Loyal
2659,22,5,172.97,VIP
1477,40,6,172.9,VIP
4952,69,7,172.5,VIP
4937,185,7,172.04,VIP
4799,252,7,171.85,VIP
4412,10,6,171.56,VIP
3429,184,6,171.52,VIP
1208,14,5,171.46,VIP
2810,0,6,171.4,VIP
3821,361,4,171.1,Loyal
3971,0,5,171.03,VIP
3832,166,5,170.96,VIP
2222,2,7,170.95,VIP
3920,234,4,170.9,Loyal
2077,229,4,170.9,Loyal
2718,201,8,170.72,VIP
4430,28,5,170.7,VIP
3629,261,6,170.5,VIP
1608,47,6,170.12,VIP
4112,247,5,170.0,VIP
2133,147,7,169.96,VIP
3827,57,6,169.73,VIP
3346,233,3,169.7,Loyal
2202,93,6,169.45,VIP
1456,40,6,168.74,VIP
3862,42,6,168.55,VIP
1245,26,7,168.51,VIP
2079,164,5,168.41,VIP
1998,226,9,168.05,VIP
1198,333,3,167.9,Loyal
4804,3,6,167.54,VIP
3474,127,7,167.4,VIP
4251,9,6,167.39,VIP
2568,82,7,167.3,VIP
3437,331,6,167.22,VIP
2746,215,7,167.15,VIP
2847,37,6,167.0,VIP
2298,85,8,166.8,VIP
4657,137,5,166.8,VIP
4601,15,7,166.65,VIP
1248,15,8,166.65,VIP
2389,47,6,166.19,VIP
3299,305,4,166.1,Loyal
2234,6,6,166.0,VIP
3247,59,7,165.9,VIP
3358,276,5,165.9,Loyal
2357,98,7,165.85,VIP
2560,34,6,165.52,VIP
2041,97,7,165.5,VIP
4220,39,5,165.5,VIP
1419,267,5,165.5,Loyal
2059,479,4,165.35,Dormant
4433,219,5,165.2,Loyal
2381,227,7,165.02,VIP
4999,4,6,164.86,VIP
1385,34,5,164.7,VIP
1613,127,7,164.7,VIP
1782,81,6,164.2,VIP
1583,37,6,164.05,VIP
2928,99,4,164.0,Loyal
3308,68,9,163.94,VIP
2618,27,5,163.9,VIP
2868,26,8,163.9,VIP
3046,42,6,163.8,VIP
1460,189,3,163.7,Loyal
1711,38,8,163.66,VIP
1444,1,6,163.32,VIP
4165,134,8,163.15,VIP
2550,7,7,163.14,VIP
4153,156,7,163.0,VIP
4699,151,6,162.93,VIP
3182,76,5,162.9,VIP
2946,56,8,162.74,VIP
4946,56,5,162.5,VIP
3959,86,6,162.5,VIP
4735,273,5,162.1,Loyal
3369,1,5,161.84,VIP
2694,36,6,161.76,VIP
2799,111,8,161.7,VIP
3642,309,3,161.45,Loyal
1859,216,5,161.4,Loyal
2267,49,6,161.4,VIP
3684,139,6,161.3,VIP
2089,60,7,161.3,VIP
4324,359,4,161.2,Loyal
1190,64,8,161.1,VIP
3779,50,6,161.05,VIP
1237,265,7,160.8,VIP
1855,51,4,160.65,Loyal
4594,190,7,160.6,VIP
1959,17,7,160.6,VIP
4495,14,7,160.55,VIP
4376,38,10,160.32,VIP
2755,227,6,160.3,VIP
3766,52,3,160.12,Loyal
